id,type,identifier,label,classification,linked_to,joint_committees_labs,altlabel_en,preflabel_en,temporal_id,temporal_end_date,temporal_start_date
org/7004,Organization,7004,CJ49,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6576,ITRE,Joint INTA - ITRE,Joint committee procedure - INTA and ITRE,time-period/20240716,,2024-07-16
org/1247,Organization,1247,JURI,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Legal Affairs,Committee on Legal Affairs,time-period/20040720-20070114,2007-01-14,2004-07-20
org/6992,Organization,6992,CJ37,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6574,ENVI,Joint DEVE - ENVI,Joint committee procedure - DEVE and ENVI,time-period/20240716-20250202,2025-02-02,2024-07-16
org/6992,Organization,6992,CJ37,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6563,DEVE,Joint DEVE - ENVI,Joint committee procedure - DEVE and ENVI,time-period/20240716-20250202,2025-02-02,2024-07-16
org/4927,Organization,4927,CJ19,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3947,DEVE,Joint AFET - DEVE,Procedure with joint meetings - AFET and DEVE,time-period/20151216-20170118,2017-01-18,2015-12-16
org/4927,Organization,4927,CJ19,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3946,AFET,Joint AFET - DEVE,Procedure with joint meetings - AFET and DEVE,time-period/20151216-20170118,2017-01-18,2015-12-16
org/6357,Organization,6357,CULT,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Culture and Education,Committee on Culture and Education,time-period/20220120-20240715,2024-07-15,2022-01-20
org/4912,Organization,4912,CJ18,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3954,ITRE,Joint ITRE - IMCO,Procedure with  joint meetings -  ITRE and IMCO,time-period/20150709-20170118,2017-01-18,2015-07-09
org/4912,Organization,4912,CJ18,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3955,IMCO,Joint ITRE - IMCO,Procedure with  joint meetings -  ITRE and IMCO,time-period/20150709-20170118,2017-01-18,2015-07-09
org/5064,Organization,5064,CJ37,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4964,ENVI,Joint DEVE - ENVI,Joint committee procedure - DEVE and ENVI,time-period/20181206-20190701,2019-07-01,2018-12-06
org/5064,Organization,5064,CJ37,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4958,DEVE,Joint DEVE - ENVI,Joint committee procedure - DEVE and ENVI,time-period/20181206-20190701,2019-07-01,2018-12-06
org/FISC,Organization,FISC,FISC,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Tax Matters,Subcommittee on Tax Matters,,,
org/1240,Organization,1240,ITRE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Industry, Research and Energy","Committee on Industry, Research and Energy",time-period/20040720-20070114,2007-01-14,2004-07-20
org/4850,Organization,4850,CJ02,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3964,FEMM,Joint JURI - FEMM,Procedure with joint meetings - JURI and FEMM,time-period/20140701-20170118,2017-01-18,2014-07-01
org/4850,Organization,4850,CJ02,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3961,JURI,Joint JURI - FEMM,Procedure with joint meetings - JURI and FEMM,time-period/20140701-20170118,2017-01-18,2014-07-01
org/3838,Organization,3838,CJ13,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3748,CONT,Joint BUDG - CONT,Procedure with joint meetings - BUDG and CONT,time-period/20110303-20140630,2014-06-30,2011-03-03
org/3838,Organization,3838,CJ13,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3747,BUDG,Joint BUDG - CONT,Procedure with joint meetings - BUDG and CONT,time-period/20110303-20140630,2014-06-30,2011-03-03
org/5099,Organization,5099,FEMM,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Women’s Rights and Gender Equality,Committee on Women’s Rights and Gender Equality,time-period/20190702-20220119,2022-01-19,2019-07-02
org/6586,Organization,6586,LIBE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Civil Liberties, Justice and Home Affairs","Committee on Civil Liberties, Justice and Home Affairs",time-period/20240716,,2024-07-16
org/93,Organization,93,AGRI,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Agriculture,Committee on Agriculture and Rural Development,time-period/19940721-19970115,1997-01-15,1994-07-21
org/81,Organization,81,C08,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Social Affairs and Employment,Committee on Social Affairs and Employment,time-period/19790719-19840723,1984-07-23,1979-07-19
org/970,Organization,970,PETI,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Petitions,Committee on Petitions,time-period/19990720-20020114,2002-01-14,1999-07-20
org/6588,Organization,6588,FEMM,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Women’s Rights and Gender Equality,Committee on Women’s Rights and Gender Equality,time-period/20240716,,2024-07-16
org/129,Organization,129,LIBE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Civil Liberties and Internal Affairs,Committee on Civil Liberties and Internal Affairs,time-period/19970116-19990719,1999-07-19,1997-01-16
org/6975,Organization,6975,CJ20,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6562,AFET,Joint AFET - AFCO,Joint committee procedure - AFET and AFCO,time-period/20240716,,2024-07-16
org/6975,Organization,6975,CJ20,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6587,AFCO,Joint AFET - AFCO,Joint committee procedure - AFET and AFCO,time-period/20240716,,2024-07-16
org/7934,Organization,7934,CJ46,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6580,TRAN,Joint ENVI - TRAN,Joint committee procedure - ENVI and TRAN,time-period/20250120,,2025-01-20
org/7934,Organization,7934,CJ46,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/7913,ENVI,Joint ENVI - TRAN,Joint committee procedure - ENVI and TRAN,time-period/20250120,,2025-01-20
org/80,Organization,80,C07,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Legal Affairs,Legal Affairs Committee,time-period/19790719-19840723,1984-07-23,1979-07-19
org/82,Organization,82,C09,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Regional Policy and Regional Planning,Committee on Regional Policy and Regional Planning,time-period/19790719-19840723,1984-07-23,1979-07-19
org/1219,Organization,1219,MARE,def/ep-entities/COMMITTEE_PARLIAMENTARY_TEMPORARY,,,Improving safety at sea,Temporary committee on improving safety at sea,time-period/20031106-20040421,2004-04-21,2003-11-06
org/5551,Organization,5551,CJ17,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/5097,LIBE,Joint LIBE - PETI,Joint committee procedure - LIBE and PETI,time-period/20190702-20220119,2022-01-19,2019-07-02
org/5551,Organization,5551,CJ17,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/5100,PETI,Joint LIBE - PETI,Joint committee procedure - LIBE and PETI,time-period/20190702-20220119,2022-01-19,2019-07-02
org/32,Organization,32,CONT,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Budgetary Control,Committee on Budgetary Control,time-period/19920115-19940718,1994-07-18,1992-01-15
