identifier,label,temporal_id,temporal_start_date,alt_label_en,pref_label_en,alt_label_fr,pref_label_fr
6930,LPV,time-period/20240716,2024-07-16,LPV,Latvija pirmajā vietā,LPV,Latvija pirmajā vietā
6933,Progresīvie,time-period/20240716,2024-07-16,Progresīvie,Progresīvie,Progresīvie,Progresīvie
6940,SP,time-period/20240716,2024-07-16,Sovereign Poland,Sovereign Poland,Suwerenna Polska,Suwerenna Polska
6949,SMR,time-period/20240716,2024-07-16,SMR,Movimiento Sumar,SMR,Movimiento Sumar
7011,NIKI,time-period/20240716,2024-07-16,NIKI,Dimokratikó Patriotikó Kínima «NIKI»,NIKI,Dimokratikó Patriotikó Kínima
7017,UDI,time-period/20240716,2024-07-16,UDI,Union des démocrates et indépendants,UDI,Union des démocrates et indépendants
7020,iPL,time-period/20240716,2024-07-16,iPL,Inicjatywa Polska,iPL,Inicjatywa Polska
7021,TTS,time-period/20240716,2024-07-16,TTS,Tautos ir teisingumo sąjunga,TTS,Tautos ir teisingumo sąjunga
7022,LABOUR,time-period/20240716,2024-07-16,Labour Party,Labour Party,Labour Party,Labour Party
7025,Compromís,time-period/20240716,2024-07-16,Compromís,Compromís,Compromís,Compromís
7027,Mouvement conservateur,time-period/20240716,2024-07-16,Mouvement conservateur,Mouvement conservateur,Mouvement conservateur,Mouvement conservateur
7031,ADR,time-period/20240716,2024-07-16,ADR,Alternativ Demokratesch Reformpartei,ADR,Alternativ Demokratesch Reformpartei
7876,IDL,time-period/20241001,2024-10-01,Identité Libertés,Identité Libertés,Identité Libertés,Identité Libertés
6647,Možemo!,time-period/20240716,2024-07-16,Možemo!,Možemo!,Možemo!,Možemo!
6662,O,time-period/20240716,2024-07-16,O,Dansk Folkeparti,O,Dansk Folkeparti
6665,SDE,time-period/20240716,2024-07-16,SDE,Sotsiaaldemokraatlik Erakond,SDE,Sotsiaaldemokraatlik Erakond
6670,Perus,time-period/20240716,2024-07-16,Perus,Perussuomalaiset,Perus,Perussuomalaiset
6680,LVZS,time-period/20240716,2024-07-16,LVZS,Lietuvos valstiečių ir žaliųjų sąjunga,LVZS,Lietuvos valstiečių ir žaliųjų sąjunga
6684,Déi Gréng,time-period/20240716,2024-07-16,Déi Gréng,Déi Gréng - Les Verts,Déi Gréng,Déi Gréng - Les Verts
6686,Saskaņa SDP,time-period/20240716,2024-07-16,Ssaskaņa SDP,"""Saskaņa"" sociāldemokrātiskā partija",Ssaskaņa SDP,"""Saskaņa"" sociāldemokrātiskā partija"
6700,SPZZ,time-period/20240716,2024-07-16,SPZZ,Solidarna Polska Zbigniewa Ziobro,SPZZ,Solidarna Polska Zbigniewa Ziobro
6710,PMP,time-period/20240716,2024-07-16,PMP,Partidul Mișcarea Populară,PMP,Partidul Mișcarea Populară
6711,UDMR,time-period/20240716,2024-07-16,UDMR,Uniunea Democrată Maghiară din România,UDMR,Uniunea Democrată Maghiară din România
6716,C,time-period/20240716,2024-07-16,C,Centerpartiet,C,Centerpartiet
6720,NSi-KD,time-period/20240716,2024-07-16,NSi-KD,Nova Slovenija – Krščanski demokrati,NSi-KD,Nova Slovenija – Krščanski demokrati
6740,SF,time-period/20240716,2024-07-16,SF,Sinn Féin,SF,Sinn Féin
6760,CSP,time-period/20240716,2024-07-16,CSP,Christlich Soziale Partei,CSP,Christlich Soziale Partei
6764,DI.SY.,time-period/20240716,2024-07-16,DI.SY.,Democratic Rally,DI.SY.,Democratic Rally
6775,DIE LINKE.,time-period/20240716,2024-07-16,DIE LINKE.,DIE LINKE.,DIE LINKE.,DIE LINKE.
6799,Familien-Partei DE,time-period/20240716,2024-07-16,Familien-Partei Deutschlands,Familien-Partei Deutschlands,Familien-Partei Deutschlands,Familien-Partei Deutschlands
6801,ÖDP,time-period/20240716,2024-07-16,Ökologisch-Demokratische Partei,Ökologisch-Demokratische Partei,Ökologisch-Demokratische Partei,Ökologisch-Demokratische Partei
6808,Die Tierschutzpartei,time-period/20240716,2024-07-16,Die Tierschutzpartei,Partei Mensch Umwelt Tierschutz,Die Tierschutzpartei,Partei Mensch Umwelt Tierschutz
6816,PSC-PSOE,time-period/20240716,2024-07-16,Partit dels Socialistes de Catalunya (PSC-PSOE),Partit dels Socialistes de Catalunya (PSC-PSOE),Partit dels Socialistes de Catalunya (PSC-PSOE),Partit dels Socialistes de Catalunya (PSC-PSOE)
6818,KDNP,time-period/20240716,2024-07-16,KDNP,Kereszténydemokrata Néppárt,KDNP,Kereszténydemokrata Néppárt
6825,Ind.,time-period/20240716,2024-07-16,Ind.,Independent,Ind.,Independent
6828,Independiente,time-period/20240716,2024-07-16,Independiente,Independiente,Independiente,Independiente
6841,Indépendant,time-period/20240716,2024-07-16,Ind.,Indépendant,Ind.,Indépendant
6843,Ind.,time-period/20240716,2024-07-16,Ind.,Independent,Ind.,Independent
6852,I,time-period/20240716,2024-07-16,I,Liberal Alliance,I,Liberal Alliance
6854,MHM,time-period/20240716,2024-07-16,MHM,Mi Hazánk Mozgalom,MHM,Mi Hazánk Mozgalom
6864,SPD,time-period/20240716,2024-07-16,SPD,Svoboda a přímá demokracie,SPD,Svoboda a přímá demokracie
6899,NL,time-period/20240716,2024-07-16,NL,Nowa Lewica,NL,Nowa Lewica
6922,DVD,time-period/20240716,2024-07-16,DVD,Divers droite,DVD,Divers droite
6924,ELAM,time-period/20240716,2024-07-16,ELAM,Εθνικό Λαϊκό Μέτωπο,ELAM,Εθνικό Λαϊκό Μέτωπο
6950,Independent,time-period/20240716,2024-07-16,Independent,Independent,Independent,Independent
7013,Phoní Loyikís,time-period/20240716,2024-07-16,Foníí Loyikís,Foní Loyikís,Foní Loyikís,Foní Loyikís
7024,Independent,time-period/20240716,2024-07-16,Independent,Independent,Independent,Independent
7034,AUTO,time-period/20240716,2024-07-16,AUTO,Motoristé sobě,AUTO,Motoristé sobě
7921,UDR,time-period/20240831,2024-08-31,UDR,Union des droites pour la République,UDR,Union des droites pour la République
