country_id,country_iso3c,country_name_en,polgroup_id,political_group,natparty_id,national_party,national_party_long
22,POL,Poland,7018,PPE,7020,iPL,Inicjatywa Polska
11,FRA,France,7018,PPE,7921,UDR,Union des droites pour la République
21,NLD,Netherlands,7028,Verts/ALE,6638,Volt,Volt
13,HRV,Croatia,7028,Verts/ALE,6647,Možemo!,Možemo!
17,LTU,Lithuania,7028,Verts/ALE,6656,DSVL,Demokratų sąjunga „Vardan Lietuvos“
26,SVN,Slovenia,7028,Verts/ALE,6658,Vesna,Vesna – zelena stranka
7,DNK,Denmark,7028,Verts/ALE,6661,F,Socialistisk Folkeparti
8,ESP,Spain,7028,Verts/ALE,6669,ERC,Esquerra Republicana de Catalunya
10,FIN,Finland,7028,Verts/ALE,6671,VIHR,Vihreä liitto
18,LUX,Luxembourg,7028,Verts/ALE,6684,Déi Gréng,Déi Gréng - Les Verts
21,NLD,Netherlands,7028,Verts/ALE,6694,GroenLinks,GroenLinks
27,SWE,Sweden,7028,Verts/ALE,6717,MP,Miljöpartiet de gröna
1,AUT,Austria,7028,Verts/ALE,6748,Die Grünen,Die Grünen - Die Grüne Alternative
2,BEL,Belgium,7028,Verts/ALE,6750,GROEN,Groen
2,BEL,Belgium,7028,Verts/ALE,6757,ECOLO,Ecologistes Confédérés pour l'Organisation de Luttes Originales
6,DEU,Germany,7028,Verts/ALE,6773,GRÜNE.,Bündnis 90/Die Grünen
24,ROU,Romania,7028,Verts/ALE,6798,Independent,Independent
16,ITA,Italy,7028,Verts/ALE,6826,Independent,Independent
8,ESP,Spain,7028,Verts/ALE,6844,BNG,Bloque Nacionalista Galego
6,DEU,Germany,7028,Verts/ALE,6859,V,Volt
5,CZE,Czechia,7028,Verts/ALE,6862,PIR,PIRÁTI
16,ITA,Italy,7028,Verts/ALE,6896,E.Verde,Europa Verde - Verdi
19,LVA,Latvia,7028,Verts/ALE,6933,Progresīvie,Progresīvie
16,ITA,Italy,7028,Verts/ALE,6944,AVS,Alleanza Verdi e Sinistra
8,ESP,Spain,7028,Verts/ALE,6949,SMR,Movimiento Sumar
11,FRA,France,7028,Verts/ALE,6953,Les Écologistes,Les Écologistes
8,ESP,Spain,7028,Verts/ALE,7025,Compromís,Compromís
21,NLD,Netherlands,7028,Verts/ALE,7952,GL-PvdA,GroenLinks-PvdA
23,PRT,Portugal,7035,Renew,6641,IL,Iniciativa Liberal
17,LTU,Lithuania,7035,Renew,6652,LS,Liberalų sąjūdis
17,LTU,Lithuania,7035,Renew,6653,LP,Laisvės partija
7,DNK,Denmark,7035,Renew,6663,V,"Venstre, Danmarks Liberale Parti"
9,EST,Estonia,7035,Renew,6664,ER,Eesti Reformierakond
10,FIN,Finland,7035,Renew,6673,SFP,Svenska folkpartiet
18,LUX,Luxembourg,7035,Renew,6682,DP,Parti démocratique
21,NLD,Netherlands,7035,Renew,6691,VVD,Volkspartij voor Vrijheid en Democratie
21,NLD,Netherlands,7035,Renew,6693,D66,Democraten 66
24,ROU,Romania,7035,Renew,6710,PMP,Partidul Mișcarea Populară
27,SWE,Sweden,7035,Renew,6715,FP,Liberalerna
27,SWE,Sweden,7035,Renew,6716,C,Centerpartiet
10,FIN,Finland,7035,Renew,6725,KESK,Suomen Keskusta
15,IRL,Ireland,7035,Renew,6739,Ind.,Independent
15,IRL,Ireland,7035,Renew,6741,FF,Fianna Fáil Party
1,AUT,Austria,7035,Renew,6749,NEOS,NEOS – Das Neue Österreich
2,BEL,Belgium,7035,Renew,6752,Open VLD,Open Vlaamse Liberalen en Democraten
2,BEL,Belgium,7035,Renew,6756,MR,Mouvement Réformateur
3,BGR,Bulgaria,7035,Renew,6763,DPS,Movement for Rights and Freedoms
6,DEU,Germany,7035,Renew,6774,FDP,Freie Demokratische Partei
7,DNK,Denmark,7035,Renew,6778,B,Det Radikale Venstre
19,LVA,Latvia,7035,Renew,6791,AP!,Latvijas attīstībai
9,EST,Estonia,7035,Renew,6792,KE,Eesti Keskerakond
6,DEU,Germany,7035,Renew,6807,Freie Wähler,Freie Wähler
8,ESP,Spain,7035,Renew,6820,PNV,Partido Nacionalista Vasco
24,ROU,Romania,7035,Renew,6872,USR,Uniunea Salvați România
25,SVK,Slovakia,7035,Renew,6874,PS,Progresívne Slovensko
22,POL,Poland,7035,Renew,6893,PL2050,Polska 2050
2,BEL,Belgium,7035,Renew,6903,LesEng,Les Engagés
26,SVN,Slovenia,7035,Renew,6909,GS,Gibanje Svoboda
3,BGR,Bulgaria,7035,Renew,6932,PP-DB,We continue the change – Democratic Bulgaria
11,FRA,France,7035,Renew,6935,Ens,L'Europe Ensemble
7,DNK,Denmark,7035,Renew,6948,M,Moderaterne
16,ITA,Italy,7036,The Left,6674,M5S,Movimento 5 Stelle
21,NLD,Netherlands,7036,The Left,6695,PvdD,Partij voor de Dieren
23,PRT,Portugal,7036,The Left,6707,BE,Bloco de Esquerda
27,SWE,Sweden,7036,The Left,6718,V,Vänsterpartiet
12,GRC,Greece,7036,The Left,6731,SYRIZA,Coalition of the Radical Left
15,IRL,Ireland,7036,The Left,6739,Ind.,Independent
15,IRL,Ireland,7036,The Left,6740,SF,Sinn Féin
4,CYP,Cyprus,7036,The Left,6765,AKEL-ARISTERA-ND,Progressive Party of Working People - Left - New Forces
6,DEU,Germany,7036,The Left,6775,DIE LINKE.,DIE LINKE.
10,FIN,Finland,7036,The Left,6795,VAS,Vasemmistoliitto
6,DEU,Germany,7036,The Left,6808,Die Tierschutzpartei,Partei Mensch Umwelt Tierschutz
8,ESP,Spain,7036,The Left,6811,PODEMOS,PODEMOS
8,ESP,Spain,7036,The Left,6812,EH BILDU,EH BILDU
23,PRT,Portugal,7036,The Left,6817,PCP,Partido Comunista Português
6,DEU,Germany,7036,The Left,6823,Independent,Independent
2,BEL,Belgium,7036,The Left,6860,PVDA-PTB,PVDA-PTB
7,DNK,Denmark,7036,The Left,6863,Enhedslisten,Enhedslisten
11,FRA,France,7036,The Left,6878,LFI,La France Insoumise
16,ITA,Italy,7036,The Left,6944,AVS,Alleanza Verdi e Sinistra
8,ESP,Spain,7036,The Left,6949,SMR,Movimiento Sumar
2,BEL,Belgium,7036,The Left,6950,Independent,Independent
7,DNK,Denmark,7037,ECR,6637,Æ,Danmarksdemokraterne
13,HRV,Croatia,7037,ECR,6644,DP,Domovinski pokret
19,LVA,Latvia,7037,ECR,6655,AS,"Apvienotais saraksts — Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija"
10,FIN,Finland,7037,ECR,6670,Perus,Perussuomalaiset
17,LTU,Lithuania,7037,ECR,6679,LLRA,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga
17,LTU,Lithuania,7037,ECR,6680,LVZS,Lietuvos valstiečių ir žaliųjų sąjunga
19,LVA,Latvia,7037,ECR,6685,TB/LNNK,"Nacionālā apvienība """"Visu Latvijai!"""" - """"Tēvzemei un Brīvībai/LNNK"""""
21,NLD,Netherlands,7037,ECR,6699,SGP,Staatkundig Gereformeerde Partij
22,POL,Poland,7037,ECR,6700,SPZZ,Solidarna Polska Zbigniewa Ziobro
22,POL,Poland,7037,ECR,6702,PiS,Prawo i Sprawiedliwość
2,BEL,Belgium,7037,ECR,6754,N-VA,Nieuw-Vlaamse Alliantie
5,CZE,Czechia,7037,ECR,6768,ODS,Občanská demokratická strana
12,GRC,Greece,7037,ECR,6781,EL,Elliniki Lusi-Greek Solution
9,EST,Estonia,7037,ECR,6792,KE,Eesti Keskerakond
24,ROU,Romania,7037,ECR,6798,Independent,Independent
27,SWE,Sweden,7037,ECR,6810,SD,Sverigedemokraterna
8,ESP,Spain,7037,ECR,6828,Independiente,Independiente
16,ITA,Italy,7037,ECR,6831,FdL,FRATELLI D' ITALIA
11,FRA,France,7037,ECR,6841,Indépendant,Indépendant
24,ROU,Romania,7037,ECR,6914,PNCR,Partidului Național Conservator Român (PNCR)
24,ROU,Romania,7037,ECR,6915,AUR,Alianța pentru Unirea Românilor
11,FRA,France,7037,ECR,6922,DVD,Divers droite
4,CYP,Cyprus,7037,ECR,6924,ELAM,Εθνικό Λαϊκό Μέτωπο
3,BGR,Bulgaria,7037,ECR,6931,ITN,There Is Such a People
